datetime,last_price,volume,amount,bid_price1,bid_volume1,ask_price1,ask_volume1,tick_volume,tick_amount
2026-03-24 13:34:40.500000000,3150.0,133239.0,4196101790.0,3149.0,884.0,3150.0,117.0,0.0,0.0
2026-03-24 13:34:41.000000000,3149.0,133366.0,4200102260.0,3149.0,901.0,3150.0,53.0,127.0,4000470.0
2026-03-24 13:34:41.500000000,3150.0,133426.0,4201992260.0,3150.0,3.0,3151.0,1263.0,60.0,1890000.0
2026-03-24 13:34:42.000000000,3150.0,133435.0,4202275760.0,3150.0,12.0,3151.0,1261.0,9.0,283500.0
2026-03-24 13:34:42.500000000,3150.0,133440.0,4202433260.0,3150.0,30.0,3151.0,1387.0,5.0,157500.0
2026-03-24 13:34:43.000000000,3150.0,133440.0,4202433260.0,3150.0,30.0,3151.0,1387.0,0.0,0.0
2026-03-24 13:34:43.500000000,3150.0,133448.0,4202685280.0,3150.0,34.0,3151.0,1383.0,8.0,252020.0
2026-03-24 13:34:44.000000000,3150.0,133450.0,4202748280.0,3150.0,62.0,3151.0,1434.0,2.0,63000.0
2026-03-24 13:34:44.500000000,3151.0,133454.0,4202874300.0,3150.0,90.0,3151.0,1432.0,4.0,126020.0
2026-03-24 13:34:45.000000000,3150.0,133457.0,4202968800.0,3150.0,68.0,3151.0,1453.0,3.0,94500.0
2026-03-24 13:34:45.500000000,3150.0,133460.0,4203063310.0,3150.0,56.0,3151.0,1453.0,3.0,94510.0
2026-03-24 13:34:46.000000000,3150.0,133463.0,4203157820.0,3150.0,55.0,3151.0,1454.0,3.0,94510.0
2026-03-24 13:34:46.500000000,3150.0,133466.0,4203252330.0,3150.0,53.0,3151.0,1460.0,3.0,94510.0
2026-03-24 13:34:47.000000000,3150.0,133474.0,4203504330.0,3150.0,47.0,3151.0,1510.0,8.0,252000.0
2026-03-24 13:34:47.500000000,3150.0,133475.0,4203535830.0,3150.0,48.0,3151.0,1510.0,1.0,31500.0
2026-03-24 13:34:48.000000000,3150.0,133477.0,4203598830.0,3150.0,58.0,3151.0,1510.0,2.0,63000.0
2026-03-24 13:34:48.500000000,3150.0,133479.0,4203661830.0,3150.0,67.0,3151.0,1510.0,2.0,63000.0
2026-03-24 13:34:49.000000000,3150.0,133481.0,4203724830.0,3150.0,78.0,3151.0,1510.0,2.0,63000.0
2026-03-24 13:34:49.500000000,3150.0,133481.0,4203724830.0,3150.0,80.0,3151.0,1510.0,0.0,0.0
2026-03-24 13:34:50.000000000,3150.0,133483.0,4203787830.0,3150.0,81.0,3151.0,1510.0,2.0,63000.0
2026-03-24 13:34:50.500000000,3150.0,133493.0,4204102910.0,3150.0,79.0,3151.0,1502.0,10.0,315080.0
2026-03-24 13:34:51.000000000,3150.0,133493.0,4204102910.0,3150.0,110.0,3151.0,1508.0,0.0,0.0
2026-03-24 13:34:51.500000000,3150.0,133503.0,4204417910.0,3150.0,141.0,3151.0,1508.0,10.0,315000.0
2026-03-24 13:34:52.000000000,3150.0,133503.0,4204417910.0,3150.0,121.0,3151.0,1509.0,0.0,0.0
2026-03-24 13:34:52.500000000,3151.0,133505.0,4204480930.0,3150.0,114.0,3151.0,1507.0,2.0,63020.0
2026-03-24 13:34:53.000000000,3150.0,133506.0,4204512430.0,3150.0,124.0,3151.0,1507.0,1.0,31500.0
2026-03-24 13:34:53.500000000,3150.0,133592.0,4207221430.0,3150.0,58.0,3151.0,1507.0,86.0,2709000.0
2026-03-24 13:34:54.000000000,3150.0,133660.0,4209363430.0,3149.0,1009.0,3150.0,314.0,68.0,2142000.0
2026-03-24 13:34:54.500000000,3150.0,133661.0,4209394930.0,3149.0,814.0,3150.0,671.0,1.0,31500.0
2026-03-24 13:34:55.000000000,3150.0,133704.0,4210749430.0,3149.0,820.0,3150.0,651.0,43.0,1354500.0
2026-03-24 13:34:55.500000000,3150.0,133710.0,4210938430.0,3149.0,820.0,3150.0,651.0,6.0,189000.0
2026-03-24 13:34:56.000000000,3150.0,133712.0,4211001430.0,3149.0,822.0,3150.0,700.0,2.0,63000.0
2026-03-24 13:34:56.500000000,3150.0,133716.0,4211127430.0,3149.0,790.0,3150.0,702.0,4.0,126000.0
2026-03-24 13:34:57.000000000,3149.0,133722.0,4211316420.0,3149.0,793.0,3150.0,708.0,6.0,188990.0
2026-03-24 13:34:57.500000000,3149.0,133722.0,4211316420.0,3149.0,795.0,3150.0,708.0,0.0,0.0
2026-03-24 13:34:58.000000000,3149.0,133722.0,4211316420.0,3149.0,795.0,3150.0,709.0,0.0,0.0
2026-03-24 13:34:58.500000000,3150.0,133735.0,4211725920.0,3149.0,771.0,3150.0,733.0,13.0,409500.0
2026-03-24 13:34:59.000000000,3149.0,133737.0,4211788900.0,3149.0,768.0,3150.0,733.0,2.0,62980.0
2026-03-24 13:34:59.500000000,3150.0,133738.0,4211820400.0,3149.0,868.0,3150.0,732.0,1.0,31500.0
2026-03-24 13:35:00.000000000,3149.0,133739.0,4211851890.0,3149.0,867.0,3150.0,732.0,1.0,31490.0
2026-03-24 13:35:00.500000000,3150.0,133744.0,4212009390.0,3149.0,868.0,3150.0,751.0,5.0,157500.0
2026-03-24 13:35:01.000000000,3150.0,133745.0,4212040890.0,3149.0,872.0,3150.0,738.0,1.0,31500.0
2026-03-24 13:35:01.500000000,3150.0,133750.0,4212198350.0,3149.0,869.0,3150.0,737.0,5.0,157460.0
2026-03-24 13:35:02.000000000,3150.0,133750.0,4212198350.0,3149.0,873.0,3150.0,752.0,0.0,0.0
2026-03-24 13:35:02.500000000,3149.0,133751.0,4212229840.0,3149.0,874.0,3150.0,775.0,1.0,31490.0
2026-03-24 13:35:03.000000000,3149.0,133751.0,4212229840.0,3149.0,876.0,3150.0,775.0,0.0,0.0
2026-03-24 13:35:03.500000000,3150.0,133753.0,4212292840.0,3149.0,874.0,3150.0,773.0,2.0,63000.0
2026-03-24 13:35:04.000000000,3150.0,133758.0,4212450340.0,3149.0,874.0,3150.0,768.0,5.0,157500.0
2026-03-24 13:35:04.500000000,3150.0,133762.0,4212576320.0,3149.0,883.0,3150.0,770.0,4.0,125980.0
2026-03-24 13:35:05.000000000,3150.0,133766.0,4212702310.0,3149.0,882.0,3150.0,768.0,4.0,125990.0
2026-03-24 13:35:05.500000000,3150.0,133766.0,4212702310.0,3149.0,882.0,3150.0,755.0,0.0,0.0
2026-03-24 13:35:06.000000000,3150.0,133766.0,4212702310.0,3149.0,882.0,3150.0,769.0,0.0,0.0
2026-03-24 13:35:06.500000000,3150.0,133766.0,4212702310.0,3149.0,883.0,3150.0,762.0,0.0,0.0
2026-03-24 13:35:07.000000000,3150.0,133766.0,4212702310.0,3149.0,884.0,3150.0,763.0,0.0,0.0
2026-03-24 13:35:07.500000000,3150.0,133767.0,4212733810.0,3149.0,886.0,3150.0,777.0,1.0,31500.0
2026-03-24 13:35:08.000000000,3149.0,133768.0,4212765300.0,3149.0,885.0,3150.0,762.0,1.0,31490.0
2026-03-24 13:35:08.500000000,3150.0,133770.0,4212828300.0,3149.0,885.0,3150.0,761.0,2.0,63000.0
2026-03-24 13:35:09.000000000,3150.0,133770.0,4212828300.0,3149.0,885.0,3150.0,678.0,0.0,0.0
2026-03-24 13:35:09.500000000,3150.0,133771.0,4212859800.0,3149.0,1010.0,3150.0,677.0,1.0,31500.0
2026-03-24 13:35:10.000000000,3150.0,133772.0,4212891300.0,3149.0,1010.0,3150.0,604.0,1.0,31500.0
2026-03-24 13:35:10.500000000,3150.0,133772.0,4212891300.0,3149.0,1011.0,3150.0,567.0,0.0,0.0
2026-03-24 13:35:11.000000000,3150.0,133772.0,4212891300.0,3149.0,1017.0,3150.0,539.0,0.0,0.0
2026-03-24 13:35:11.500000000,3150.0,133773.0,4212922800.0,3149.0,1017.0,3150.0,538.0,1.0,31500.0
2026-03-24 13:35:12.000000000,3150.0,133773.0,4212922800.0,3149.0,1017.0,3150.0,528.0,0.0,0.0
2026-03-24 13:35:12.500000000,3150.0,133775.0,4212985800.0,3149.0,1017.0,3150.0,323.0,2.0,63000.0
